Licodia Eubea comune,Licodia Eubea comune.1
,
Licodia Eubea – VedutaVeduta di Licodia dall'ex feudo Boschitello,Licodia Eubea – VedutaVeduta di Licodia dall'ex feudo Boschitello
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Santo Randone (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,37°09′N 14°42′E
Altitudine,688 m s.l.m.
Superficie,"112,45 km²"
Abitanti,2 768[1] (30-11-2025)
Densità,"24,62 ab./km²"
Comuni confinanti,"Caltagirone, Chiaramonte Gulfi (RG), Giarratana (RG), Grammichele, Mazzarrone, Mineo, Monterosso Almo (RG), Vizzini"
Altre informazioni,Altre informazioni
Cod. postale,95040
Prefisso,0933
Fuso orario,UTC+1
Codice ISTAT,087020
Cod. catastale,E578
Targa,CT
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 496 GG[3]"
Nome abitanti,licodiani
Patrono,santa Margherita Sant'Antonio Abate
Giorno festivo,20 luglio
Cartografia,Cartografia
Licodia Eubea,Licodia Eubea
Licodia Eubea – MappaPosizione del comune di Licodia Eubea nella città metropolitana di Catania,Licodia Eubea – MappaPosizione del comune di Licodia Eubea nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
