Castiglione di Sicilia comune,Castiglione di Sicilia comune.1
,
Castiglione di Sicilia – VedutaPanorama di Castiglione di Sicilia,Castiglione di Sicilia – VedutaPanorama di Castiglione di Sicilia
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Concetto Stagnitti (FI) dal 26-5-2025
Territorio,Territorio
Coordinate,37°52′58″N 15°07′21″E
Altitudine,621 m s.l.m.
Superficie,"118,9 km²"
Abitanti,2 844[1] (30-11-2025)
Densità,"23,92 ab./km²"
Frazioni,"Gravà, Mitogio, Passopisciaro, Rovittello, Solicchiata, Verzella"
Comuni confinanti,"Adrano, Belpasso, Biancavilla, Bronte, Calatabiano, Francavilla di Sicilia (ME), Gaggi (ME), Graniti (ME), Linguaglossa, Maletto, Malvagna (ME), Mojo Alcantara (ME), Motta Camastra (ME), Nicolosi, Piedimonte Etneo, Randazzo, Roccella Valdemone (ME), Sant'Alfio, Taormina (ME), Zafferana Etnea"
Altre informazioni,Altre informazioni
Cod. postale,95012
Prefisso,0942
Fuso orario,UTC+1
Codice ISTAT,087014
Cod. catastale,C297
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 502 GG[3]"
Nome abitanti,castiglionesi
Patrono,Maria Santissima della Catena
Giorno festivo,prima domenica di maggio
Cartografia,Cartografia
Castiglione di Sicilia,Castiglione di Sicilia
Castiglione di Sicilia – MappaPosizione del comune di Castiglione di Sicilia nella città metropolitana di Catania,Castiglione di Sicilia – MappaPosizione del comune di Castiglione di Sicilia nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
