Tremestieri Etneo comune,Tremestieri Etneo comune.1
,
Tremestieri Etneo – Veduta,Tremestieri Etneo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Loredana Torella (Commissario straordinario) dal 18-04-2024
Territorio,Territorio
Coordinate,37°34′32.52″N 15°04′23.52″E
Altitudine,400 m s.l.m.
Superficie,"6,52 km²"
Abitanti,19 170[1] (30-11-2025)
Densità,"2 940,18 ab./km²"
Frazioni,"Canalicchio, Piano"
Comuni confinanti,"Catania, Gravina di Catania, Mascalucia, Pedara, San Giovanni la Punta, San Gregorio di Catania, Sant'Agata li Battiati"
Altre informazioni,Altre informazioni
Cod. postale,95030
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087051
Cod. catastale,L369
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 250 GG[3]"
Nome abitanti,tremestieresi
Patrono,Madonna della Pace e Santa Barbara
Giorno festivo,lunedì successivo alla domenica in albis
Soprannome,Città della pace e del dono
Cartografia,Cartografia
Tremestieri Etneo,Tremestieri Etneo
Tremestieri Etneo – MappaPosizione del comune di Tremestieri Etneo nella città metropolitana di Catania,Tremestieri Etneo – MappaPosizione del comune di Tremestieri Etneo nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
