Zafferana Etnea comune,Zafferana Etnea comune.1
,
Zafferana Etnea – Veduta,Zafferana Etnea – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Salvo Russo (lista civica) dal 30-4-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,37°41′N 15°06′E
Altitudine,580 m s.l.m.
Superficie,"76,87 km²"
Abitanti,9 362[1] (30-11-2025)
Densità,"121,79 ab./km²"
Frazioni,"Fleri, Petrulli, Pisano Etneo, Poggiofelice, Sarro"
Comuni confinanti,"Aci Sant'Antonio, Acireale, Adrano,Biancavilla, Bronte, Castiglione di Sicilia, Giarre, Maletto, Milo, Nicolosi, Pedara, Randazzo, Sant'Alfio, Santa Venerina, Trecastagni, Viagrande"
Altre informazioni,Altre informazioni
Cod. postale,95019
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087055
Cod. catastale,M139
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 184 GG[3]"
Nome abitanti,zafferanesi(zafaranoti in siciliano)
Patrono,Maria SS. della Provvidenza
Giorno festivo,seconda domenica di agosto
Soprannome,Città del miele
Cartografia,Cartografia
Zafferana Etnea,Zafferana Etnea
Zafferana Etnea – MappaPosizione del comune di Zafferana Etnea nella città metropolitana di Catania,Zafferana Etnea – MappaPosizione del comune di Zafferana Etnea nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
