Aci Sant'Antonio comune,Aci Sant'Antonio comune.1
,
Aci Sant'Antonio – VedutaChiesa Madre in piazza Maggiore,Aci Sant'Antonio – VedutaChiesa Madre in piazza Maggiore
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Quintino Rocca (lista civica di centro-sinistra) dal 15-6-2023
Territorio,Territorio
Coordinate,37°36′21.21″N 15°07′33.77″E
Altitudine,302 m s.l.m.
Superficie,"14,33 km²"
Abitanti,18 109[1] (30-11-2025)
Densità,"1 263,71 ab./km²"
Frazioni,"Lavina, Lavinaio, Monterosso, Santa Maria la Stella"
Comuni confinanti,"Aci Bonaccorsi, Aci Catena, Acireale, Valverde, Viagrande, Zafferana Etnea"
Altre informazioni,Altre informazioni
Cod. postale,95025
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087005
Cod. catastale,A029
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 167 GG[3]"
Nome abitanti,Santantonesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Soprannome,Città del carretto siciliano
Cartografia,Cartografia
Aci Sant'Antonio,Aci Sant'Antonio
Aci Sant'Antonio – MappaPosizione del comune di Aci Sant'Antonio nella città metropolitana di Catania,Aci Sant'Antonio – MappaPosizione del comune di Aci Sant'Antonio nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
