Ragalna comune,Ragalna comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Antonino Caruso (lista civica di centro-destra) dal 10-6-2024
Territorio,Territorio
Coordinate,37°38′N 14°56′E
Altitudine,830 m s.l.m.
Superficie,"39,53 km²"
Abitanti,4 394[1] (30-11-2025)
Densità,"111,16 ab./km²"
Comuni confinanti,"Belpasso, Biancavilla, Paternò, Santa Maria di Licodia"
Altre informazioni,Altre informazioni
Cod. postale,95054
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087058
Cod. catastale,M287
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 879 GG[3]"
Nome abitanti,ragalnesi
Patrono,Beata Vergine Maria del Monte Carmelo
Giorno festivo,ultima domenica di settembre
Cartografia,Cartografia
Ragalna,Ragalna
Ragalna – MappaPosizione del comune di Ragalna nella città metropolitana di Catania,Ragalna – MappaPosizione del comune di Ragalna nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
