Calatabiano comune,Calatabiano comune.1
,
Calatabiano – Veduta,Calatabiano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Antonio Petralia (lista civica) dal 23-10-2023
Territorio,Territorio
Coordinate,37°49′22″N 15°13′40″E
Altitudine,60 m s.l.m.
Superficie,"26,42 km²"
Abitanti,5 152[1] (30-11-2025)
Densità,195 ab./km²
Frazioni,"Ciotto, Lapide, Pasteria, Ponte Borea, San Marco"
Comuni confinanti,"Castiglione di Sicilia, Fiumefreddo di Sicilia, Giardini-Naxos (ME), Linguaglossa, Piedimonte Etneo, Taormina (ME)"
Altre informazioni,Altre informazioni
Cod. postale,95011
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087010
Cod. catastale,B384
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 913 GG[3]"
Nome abitanti,calatabianesi
Patrono,san Giorgio martire
Giorno festivo,23 aprile
Cartografia,Cartografia
Calatabiano,Calatabiano
Calatabiano – MappaPosizione del comune di Calatabiano nella città metropolitana di Catania,Calatabiano – MappaPosizione del comune di Calatabiano nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
