Mirabella Imbaccari comune,Mirabella Imbaccari comune.1
,
Mirabella Imbaccari – Veduta,Mirabella Imbaccari – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Giovanni Ferro (lista civica) dal 12-6-2017 (2º mandato dal 15-6-2022)
Territorio,Territorio
Coordinate,37°20′N 14°27′E
Altitudine,518 m s.l.m.
Superficie,"15,3 km²"
Abitanti,4 133[1] (30-11-2025)
Densità,"270,13 ab./km²"
Comuni confinanti,"Caltagirone, Piazza Armerina (EN)"
Altre informazioni,Altre informazioni
Cod. postale,95040
Prefisso,0933
Fuso orario,UTC+1
Codice ISTAT,087028
Cod. catastale,F231
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 430 GG[3]"
Nome abitanti,mirabellesi
Patrono,san Giuseppe santa Maria delle Grazie
Giorno festivo,"19 marzo , penultima domenica di agosto"
Cartografia,Cartografia
Mirabella Imbaccari,Mirabella Imbaccari
Mirabella Imbaccari – MappaPosizione del comune di Mirabella Imbaccari nella città metropolitana di Catania,Mirabella Imbaccari – MappaPosizione del comune di Mirabella Imbaccari nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
