Piedimonte Etneo comune,Piedimonte Etneo comune.1
,
"Piedimonte Etneo – VedutaVeduta panoramica di Piedimonte Etneo vista dalla zona dell'Etna con vista mare, Taormina e sullo sfondo la Calabria.","Piedimonte Etneo – VedutaVeduta panoramica di Piedimonte Etneo vista dalla zona dell'Etna con vista mare, Taormina e sullo sfondo la Calabria."
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Ignazio Puglisi (lista civica Futuro in corso) dal 10-6-2013
Territorio,Territorio
Coordinate,37°48′24″N 15°10′45″E
Altitudine,348 m s.l.m.
Superficie,"26,54 km²"
Abitanti,3 860[1] (30-11-2025)
Densità,"145,44 ab./km²"
Frazioni,"Presa, San Gerardo, Vena"
Comuni confinanti,"Calatabiano, Castiglione di Sicilia, Fiumefreddo di Sicilia, Linguaglossa, Mascali, Sant'Alfio"
Altre informazioni,Altre informazioni
Cod. postale,95017
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087035
Cod. catastale,G597
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 236 GG[3]"
Nome abitanti,piedimontesi
Patrono,sant'Ignazio di Loyola
Giorno festivo,31 luglio (seguita dalla festa locale la prima domenica d'Agosto)
Cartografia,Cartografia
Piedimonte Etneo,Piedimonte Etneo
Piedimonte Etneo – MappaPosizione del comune di Piedimonte Etneo nella città metropolitana di Catania,Piedimonte Etneo – MappaPosizione del comune di Piedimonte Etneo nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
