Sant'Alfio comune,Sant'Alfio comune.1
,
Sant'Alfio – Veduta,Sant'Alfio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Alfio La Spina (FdI) dal 29-5-2023
Territorio,Territorio
Coordinate,37°45′N 15°08′E
Altitudine,531 m s.l.m.
Superficie,"25,86 km²"
Abitanti,1 518[1] (30-11-2025)
Densità,"58,7 ab./km²"
Comuni confinanti,"Adrano, Belpasso, Biancavilla, Bronte, Castiglione di Sicilia, Giarre, Linguaglossa, Maletto, Mascali, Milo, Nicolosi, Piedimonte Etneo, Randazzo, Zafferana Etnea"
Altre informazioni,Altre informazioni
Cod. postale,95010
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087046
Cod. catastale,I216
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 440 GG[3]"
Nome abitanti,santalfiesi (santaffioti in siciliano)
Patrono,"santi Alfio, Filadelfo e Cirino"
Giorno festivo,prima domenica di maggio
Cartografia,Cartografia
Sant'Alfio,Sant'Alfio
Sant'Alfio – MappaPosizione del comune di Sant'Alfio nella città metropolitana di Catania,Sant'Alfio – MappaPosizione del comune di Sant'Alfio nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
