Aci Catena comune,Aci Catena comune.1
(dettagli),(dettagli)
Aci Catena – Veduta,Aci Catena – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Margherita Rita Ferro (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,37°36′06″N 15°08′31″E
Altitudine,170 m s.l.m.
Superficie,"8,53 km²"
Abitanti,27 358[1] (30-11-2025)
Densità,"3 207,27 ab./km²"
Frazioni,"Aci San Filippo, Eremo Sant'Anna, Nizzeti, Reitana, San Nicolò"
Comuni confinanti,"Aci Castello, Aci Sant'Antonio, Acireale, Valverde"
Altre informazioni,Altre informazioni
Cod. postale,95022
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087003
Cod. catastale,A027
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 988 GG[3]"
Nome abitanti,catenoti
Patrono,Maria Santissima della Catena
Giorno festivo,15 agosto e 11 gennaio
Soprannome,Città del limone verdello
Cartografia,Cartografia
Aci Catena,Aci Catena
Aci Catena – MappaPosizione del comune di Aci Catena nella città metropolitana di Catania,Aci Catena – MappaPosizione del comune di Aci Catena nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
