Linguaglossa comune,Linguaglossa comune.1
,
Linguaglossa – Veduta,Linguaglossa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Luca Stagnitta (Controcorrente) dal 15-6-2022
Territorio,Territorio
Coordinate,37°50′34″N 15°08′31″E
Altitudine,550 m s.l.m.
Superficie,"60,25 km²"
Abitanti,5 005[1] (30-11-2025)
Densità,"83,07 ab./km²"
Frazioni,Catena
Comuni confinanti,"Calatabiano, Castiglione di Sicilia, Piedimonte Etneo, Sant'Alfio"
Altre informazioni,Altre informazioni
Cod. postale,95015
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087021
Cod. catastale,E602
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 760 GG[3]"
Nome abitanti,linguaglossesi
Patrono,sant'Egidio
Giorno festivo,1º settembre
Cartografia,Cartografia
Linguaglossa,Linguaglossa
Linguaglossa – MappaPosizione del comune di Linguaglossa nella città metropolitana di Catania,Linguaglossa – MappaPosizione del comune di Linguaglossa nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
