Grammichele comune,Grammichele comune.1
,
"Grammichele – VedutaLa piazza principale di Grammichele, a pianta esagonale, con il palazzo municipale","Grammichele – VedutaLa piazza principale di Grammichele, a pianta esagonale, con il palazzo municipale"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Giuseppe Greco (lista civica) dal 16-10-2021
Territorio,Territorio
Coordinate,37°13′N 14°38′E
Altitudine,520 m s.l.m.
Superficie,"31,02 km²"
Abitanti,12 134[1] (30-11-2025)
Densità,"391,17 ab./km²"
Comuni confinanti,"Caltagirone, Licodia Eubea, Mineo"
Altre informazioni,Altre informazioni
Lingue,"italiano, siciliano[2]"
Cod. postale,95042
Prefisso,0933
Fuso orario,UTC+1
Codice ISTAT,087018
Cod. catastale,E133
Targa,CT
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 304 GG[4]"
Nome abitanti,grammichelesi
Patrono,san Michele Arcangelo e santa Caterina
Giorno festivo,8 maggio
Cartografia,Cartografia
Grammichele,Grammichele
Grammichele – MappaPosizione del comune di Grammichele nella città metropolitana di Catania,Grammichele – MappaPosizione del comune di Grammichele nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
