Mineo comune,Mineo comune.1
,
Mineo – VedutaVista sul quartiere San Pietro,Mineo – VedutaVista sul quartiere San Pietro
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Giuseppe Mistretta (lista civica) dal 13-6-2018
Territorio,Territorio
Coordinate,37°15′58.89″N 14°41′27.82″E
Altitudine,528 m s.l.m.
Superficie,"246,32 km²"
Abitanti,4 349[1] (30-11-2025)
Densità,"17,66 ab./km²"
Frazioni,Borgo Pietro Lupo
Comuni confinanti,"Aidone (EN), Caltagirone, Grammichele, Licodia Eubea, Militello in Val di Catania, Palagonia, Piazza Armerina (EN), Ramacca, Vizzini"
Altre informazioni,Altre informazioni
Cod. postale,95044
Prefisso,0933
Fuso orario,UTC+1
Codice ISTAT,087027
Cod. catastale,F217
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 293 GG[3]"
Nome abitanti,menenini
Patrono,sant'Agrippina
Giorno festivo,23 giugno
Cartografia,Cartografia
Mineo,Mineo
Mineo – MappaPosizione del comune di Mineo nella città metropolitana di Catania,Mineo – MappaPosizione del comune di Mineo nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
