Colli del Tronto comune,Colli del Tronto comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ascoli Piceno
Amministrazione,Amministrazione
Sindaco,Andrea Cardilli (lista civica Liberamente Colli) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°52′40.98″N 13°44′53.52″E
Altitudine,168 m s.l.m.
Superficie,"5,94 km²"
Abitanti,3 679[1] (30-11-2025)
Densità,"619,36 ab./km²"
Frazioni,"Casaregnano, Case Sparse, Contrada la Rocca, Vallicella, Villa San Giuseppe, Villa Speca, Vivare"
Comuni confinanti,"Ancarano (TE), Ascoli Piceno, Castorano, Spinetoli"
Altre informazioni,Altre informazioni
Cod. postale,63079
Prefisso,0736
Fuso orario,UTC+1
Codice ISTAT,044014
Cod. catastale,C877
Targa,AP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 495 GG[3]"
Nome abitanti,collesi
Patrono,santa Felicita
Giorno festivo,7 marzo
Cartografia,Cartografia
Colli del Tronto,Colli del Tronto
Colli del Tronto – MappaPosizione del comune di Colli del Tronto nella provincia di Ascoli Piceno,Colli del Tronto – MappaPosizione del comune di Colli del Tronto nella provincia di Ascoli Piceno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
