Cossignano comune,Cossignano comune.1
,
Cossignano – Veduta,Cossignano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ascoli Piceno
Amministrazione,Amministrazione
Sindaco,Roberto Luciani (lista civica) dal 21-9-2020
Territorio,Territorio
Coordinate,42°59′02.36″N 13°41′17.09″E
Altitudine,400 m s.l.m.
Superficie,"14,95 km²"
Abitanti,874[1] (30-11-2025)
Densità,"58,46 ab./km²"
Frazioni,Ponte Tesino
Comuni confinanti,"Carassai, Castignano, Montalto delle Marche, Offida, Ripatransone"
Altre informazioni,Altre informazioni
Cod. postale,63067
Prefisso,0735
Fuso orario,UTC+1
Codice ISTAT,044016
Cod. catastale,D096
Targa,AP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 108 GG[3]"
Nome abitanti,cossignanesi
Patrono,"san Giorgio, santa Maria Assunta"
Giorno festivo,23 aprile
Cartografia,Cartografia
Cossignano,Cossignano
Cossignano – MappaPosizione del comune di Cossignano nella provincia di Ascoli Piceno,Cossignano – MappaPosizione del comune di Cossignano nella provincia di Ascoli Piceno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
