Arquata del Tronto comune,Arquata del Tronto comune.1
,
Arquata del Tronto – VedutaPanorama del paese nel 2012 con alle spalle il Monte Vettore,Arquata del Tronto – VedutaPanorama del paese nel 2012 con alle spalle il Monte Vettore
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ascoli Piceno
Amministrazione,Amministrazione
Sindaco,Michele Franchi (lista civica Uniti per Arquata) dal 4-10-2021
Territorio,Territorio
Coordinate,42°46′21.23″N 13°17′47.91″E
Altitudine,777 m s.l.m.
Superficie,"92,23 km²"
Abitanti,913[1] (30-11-2025)
Densità,"9,9 ab./km²"
Frazioni,"Borgo, Camartina, Capodacqua, Colle, Faete, Forca Canapine, Pescara del Tronto, Piedilama, Pretare, Spelonga, Trisungo, Tufo, Vezzano"
Comuni confinanti,"Accumoli (RI), Acquasanta Terme, Montegallo, Montemonaco, Norcia (PG), Valle Castellana (TE)"
Altre informazioni,Altre informazioni
Cod. postale,63096
Prefisso,0736
Fuso orario,UTC+1
Codice ISTAT,044006
Cod. catastale,A437
Targa,AP
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 549 GG[3]"
Nome abitanti,arquatani
Patrono,Santissimo Salvatore[4]
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Arquata del Tronto,Arquata del Tronto
Arquata del Tronto – MappaPosizione del comune di Arquata del Tronto nella provincia di Ascoli Piceno,Arquata del Tronto – MappaPosizione del comune di Arquata del Tronto nella provincia di Ascoli Piceno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
