Acquasanta Terme comune,Acquasanta Terme comune.1
,
Acquasanta Terme – VedutaCastel di Luco ad Acquasanta Terme,Acquasanta Terme – VedutaCastel di Luco ad Acquasanta Terme
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ascoli Piceno
Amministrazione,Amministrazione
Sindaco,Sante Stangoni (lista civica) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,42°46′09.12″N 13°24′34.02″E
Altitudine,392 m s.l.m.
Superficie,"138,39 km²"
Abitanti,2 414[1] (30-11-2025)
Densità,"17,44 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Arquata del Tronto, Ascoli Piceno, Montegallo, Roccafluvione, Valle Castellana (TE)"
Altre informazioni,Altre informazioni
Cod. postale,63095
Prefisso,0736
Fuso orario,UTC+1
Codice ISTAT,044001
Cod. catastale,A044
Targa,AP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 120 GG[3]"
Nome abitanti,acquasantani
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Acquasanta Terme,Acquasanta Terme
Acquasanta Terme – MappaPosizione del comune di Acquasanta Terme nella provincia di Ascoli Piceno,Acquasanta Terme – MappaPosizione del comune di Acquasanta Terme nella provincia di Ascoli Piceno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
