Maltignano comune,Maltignano comune.1
,
Maltignano – VedutaMunicipio,Maltignano – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ascoli Piceno
Amministrazione,Amministrazione
Sindaco,"Claudio Flamini (lista civica ""Visione Comune"") dal 10-06-2024"
Territorio,Territorio
Coordinate,42°49′53.76″N 13°41′13.7″E
Altitudine,307 m s.l.m.
Superficie,"8,17 km²"
Abitanti,2 173[1] (30-11-2025)
Densità,"265,97 ab./km²"
Frazioni,Caselle
Comuni confinanti,"Ascoli Piceno, Folignano, Sant'Egidio alla Vibrata (TE)"
Altre informazioni,Altre informazioni
Cod. postale,63085
Prefisso,0736
Fuso orario,UTC+1
Codice ISTAT,044027
Cod. catastale,E868
Targa,AP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 999 GG[3]"
Nome abitanti,maltignanesi
Patrono,san Cristanziano
Giorno festivo,13 maggio
Cartografia,Cartografia
Maltignano,Maltignano
Maltignano – MappaPosizione del comune di Maltignano nella provincia di Ascoli Piceno,Maltignano – MappaPosizione del comune di Maltignano nella provincia di Ascoli Piceno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
