Comunanza comune,Comunanza comune.1
,
Comunanza – Veduta,Comunanza – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ascoli Piceno
Amministrazione,Amministrazione
Sindaco,Domenico Sacconi (lista civica Comunanza tocca a te!) dal 10-6-2024
Territorio,Territorio
Coordinate,42°57′26.08″N 13°24′52.45″E
Altitudine,448 m s.l.m.
Superficie,"54,4 km²"
Abitanti,2 925[1] (30-11-2025)
Densità,"53,77 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,NW Amandola (FM); N Montefalcone Appennino (FM); NE Force (AP); E Palmiano (AP); SE Roccafluvione (AP); S Montegallo (AP); SW Montemonaco (AP); W Montefortino (FM)
Altre informazioni,Altre informazioni
Cod. postale,63087
Prefisso,0736
Fuso orario,UTC+1
Codice ISTAT,044015
Cod. catastale,C935
Targa,AP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 164 GG[3]"
Nome abitanti,comunanzesi
Patrono,santa Caterina d'Alessandria
Giorno festivo,25 novembre
Cartografia,Cartografia
Comunanza,Comunanza
Comunanza – MappaPosizione del Comune di Comunanza nella Provincia di Ascoli Piceno,Comunanza – MappaPosizione del Comune di Comunanza nella Provincia di Ascoli Piceno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
