Roccafluvione comune,Roccafluvione comune.1
,
Roccafluvione – Veduta,Roccafluvione – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ascoli Piceno
Amministrazione,Amministrazione
Sindaco,Emiliano Sciamanna (Roccafluvione insieme per il cambiamento) dal 10-6-2024
Territorio,Territorio
Coordinate,42°52′N 13°29′E
Altitudine,299 m s.l.m.
Superficie,"60,63 km²"
Abitanti,1 810[1] (30-11-2025)
Densità,"29,85 ab./km²"
Frazioni,"Agelli, Aletta, Arena, Bovecchia, Capo Il Colle, Casacagnano, Casaregnano, Casebianche, Caserine, Casette, Castiglioni, Cerqueto, Ciarpellesco, Cignano, Colleiano, Collemoro, Cuccaro, Favale, Forcella, Forcella di Casebianche, Furcola, Gaico, Guandali, Gualdo, Lisciano, Marsia (sede comunale), Macchignano Alto, Macchignano Basso, Marese, Masciù, Meschia, Monestino, Olibra, Osoli, Palazzo, Pastina, Pedara, Perseraca, Pesaturo, Pescolla, Poggio Paganello, Ponte Marese, Ponte Nativo, Ponte Paoletti, Ponte Pugliese, Prata di Colleiano, Radicina, Roccareonile Ronciglioni, Sala, Salare, San Giacomo, Sant’Angelo, Sassomaio, Scalelle, Stabino, Ticchio, Valcinante, Vallicella, Vetoli, Vetreto, Torra."
Comuni confinanti,"Acquasanta Terme, Ascoli Piceno, Comunanza, Montegallo, Palmiano, Venarotta"
Altre informazioni,Altre informazioni
Cod. postale,63093
Prefisso,0736
Fuso orario,UTC+1
Codice ISTAT,044064
Cod. catastale,H390
Targa,AP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 989 GG[3]"
Nome abitanti,roccafluvionesi
Patrono,santo Stefano I
Giorno festivo,3 agosto
Cartografia,Cartografia
Roccafluvione,Roccafluvione
Roccafluvione – MappaPosizione del comune di Roccafluvione nella provincia di Ascoli Piceno,Roccafluvione – MappaPosizione del comune di Roccafluvione nella provincia di Ascoli Piceno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
