Folignano comune,Folignano comune.1
,
Folignano – Veduta,Folignano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ascoli Piceno
Amministrazione,Amministrazione
Sindaco,Matteo Terrani (lista civica di centro-sinistra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°49′15.6″N 13°37′58.62″E
Altitudine,319 m s.l.m.
Superficie,"14,86 km²"
Abitanti,8 671[1] (30-11-2025)
Densità,"583,51 ab./km²"
Frazioni,"Case di Coccia, Castel Folignano, Piane di Morro, Sant'Antonio, San Benedetto, San Cipriano, Villa Pigna"
Comuni confinanti,"Ascoli Piceno, Civitella del Tronto (TE), Maltignano, Sant'Egidio alla Vibrata (TE)"
Altre informazioni,Altre informazioni
Cod. postale,63084
Prefisso,0736
Fuso orario,UTC+1
Codice ISTAT,044020
Cod. catastale,D652
Targa,AP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 013 GG[3]"
Nome abitanti,folignanesi
Patrono,san Gennaro
Giorno festivo,19 settembre
Cartografia,Cartografia
Folignano,Folignano
Folignano – MappaPosizione del comune di Folignano nella provincia di Ascoli Piceno,Folignano – MappaPosizione del comune di Folignano nella provincia di Ascoli Piceno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
