Cupra Marittima comune,Cupra Marittima comune.1
,
Cupra Marittima – Veduta,Cupra Marittima – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ascoli Piceno
Amministrazione,Amministrazione
Sindaco,"Alessio Piersimoni (lista civica ""Sìamo Cupra"") dal 27-5-2019 (2º mandato dal 10-6-2024)"
Territorio,Territorio
Coordinate,43°01′29.71″N 13°51′32″E
Altitudine,4 m s.l.m.
Superficie,"17,34 km²"
Abitanti,5 353[1] (30-11-2025)
Densità,"308,71 ab./km²"
Comuni confinanti,"Grottammare, Massignano, Ripatransone"
Altre informazioni,Altre informazioni
Cod. postale,63064
Prefisso,0735
Fuso orario,UTC+1
Codice ISTAT,044017
Cod. catastale,D210
Targa,AP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 644 GG[3]"
Nome abitanti,cuprensi[4][5]
Patrono,san Basso
Giorno festivo,5 dicembre
Cartografia,Cartografia
Cupra Marittima,Cupra Marittima
Cupra Marittima – MappaPosizione del comune di Cupra Marittima nella provincia di Ascoli Piceno,Cupra Marittima – MappaPosizione del comune di Cupra Marittima nella provincia di Ascoli Piceno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
