Monsampolo del Tronto comune,Monsampolo del Tronto comune.1
,
Monsampolo del Tronto – Veduta,Monsampolo del Tronto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ascoli Piceno
Amministrazione,Amministrazione
Sindaco,Massimo Narcisi (lista civica Progetto comune) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°53′52.33″N 13°47′38.33″E
Altitudine,158 m s.l.m.
Superficie,"15,43 km²"
Abitanti,4 370[1] (30-11-2025)
Densità,"283,21 ab./km²"
Frazioni,Stella
Comuni confinanti,"Acquaviva Picena, Castorano, Controguerra (TE), Monteprandone, Offida, Spinetoli"
Altre informazioni,Altre informazioni
Cod. postale,63077
Prefisso,0735
Fuso orario,UTC+1
Codice ISTAT,044031
Cod. catastale,F380
Targa,AP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 514 GG[3]"
Nome abitanti,monsampolesi
Patrono,santa Teopista
Giorno festivo,14 giugno
Cartografia,Cartografia
Monsampolo del Tronto,Monsampolo del Tronto
Monsampolo del Tronto – MappaPosizione del comune di Monsampolo del Tronto nella provincia di Ascoli Piceno,Monsampolo del Tronto – MappaPosizione del comune di Monsampolo del Tronto nella provincia di Ascoli Piceno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
