Ascoli Piceno comune,Ascoli Piceno comune.1
(dettagli),(dettagli)
Ascoli Piceno – VedutaPanorama di Ascoli Piceno dall'Eremo di San Marco,Ascoli Piceno – VedutaPanorama di Ascoli Piceno dall'Eremo di San Marco
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ascoli Piceno
Amministrazione,Amministrazione
Sindaco,Marco Fioravanti (FdI) dall'11-6-2019 (2º mandato dal 13-6-2024)
Territorio,Territorio
Coordinate,42°51′17″N 13°34′31″E
Altitudine,154 m s.l.m.
Superficie,"158,02 km²"
Abitanti,45 225[1] (30-11-2025)
Densità,"286,2 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Acquasanta Terme, Ancarano (TE), Appignano del Tronto, Castel di Lama, Castignano, Castorano, Civitella del Tronto (TE), Colli del Tronto, Folignano, Maltignano, Roccafluvione, Rotella, Sant'Egidio alla Vibrata (TE), Valle Castellana (TE), Venarotta"
Altre informazioni,Altre informazioni
Cod. postale,63100
Prefisso,0736
Fuso orario,UTC+1
Codice ISTAT,044007
Cod. catastale,A462
Targa,AP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 698 GG[3]"
Nome abitanti,ascolani
Patrono,sant'Emidio[4]
Giorno festivo,5 agosto
Cartografia,Cartografia
Ascoli Piceno,Ascoli Piceno
Ascoli Piceno – MappaPosizione del comune di Ascoli Piceno nella provincia omonima,Ascoli Piceno – MappaPosizione del comune di Ascoli Piceno nella provincia omonima
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
