Acquaviva Picena comune,Acquaviva Picena comune.1
,
Acquaviva Picena – VedutaMastio cilindrico della Rocca di Acquaviva Picena,Acquaviva Picena – VedutaMastio cilindrico della Rocca di Acquaviva Picena
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ascoli Piceno
Amministrazione,Amministrazione
Sindaco,Sante Infriccioli (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,42°56′40.96″N 13°48′48.78″E
Altitudine,359 m s.l.m.
Superficie,"21,06 km²"
Abitanti,3 589[1] (30-11-2025)
Densità,"170,42 ab./km²"
Frazioni,"Abbadetta, Casarica, Forola, Madonna delle Piane, Quercia, Sant'Angelo"
Comuni confinanti,"Grottammare, Monsampolo del Tronto, Monteprandone, Offida, Ripatransone, San Benedetto del Tronto"
Altre informazioni,Altre informazioni
Cod. postale,63075
Prefisso,0735
Fuso orario,UTC+1
Codice ISTAT,044002
Cod. catastale,A047
Targa,AP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 060 GG[3]"
Nome abitanti,acquavivani
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Acquaviva Picena,Acquaviva Picena
Acquaviva Picena – MappaPosizione del comune di Acquaviva Picena nella provincia di Ascoli Piceno,Acquaviva Picena – MappaPosizione del comune di Acquaviva Picena nella provincia di Ascoli Piceno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
