Appignano del Tronto comune,Appignano del Tronto comune.1
,
Appignano del Tronto – Veduta,Appignano del Tronto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ascoli Piceno
Amministrazione,Amministrazione
Sindaco,Sara Moreschini (lista civica) dal 1-6-2015 (2º mandato dal 21-9-2020)
Territorio,Territorio
Coordinate,42°53′56.61″N 13°39′57.56″E
Altitudine,194 m s.l.m.
Superficie,"23,19 km²"
Abitanti,1 642[1] (30-11-2025)
Densità,"70,81 ab./km²"
Comuni confinanti,"Ascoli Piceno, Castel di Lama, Castignano, Offida"
Altre informazioni,Altre informazioni
Cod. postale,63083
Prefisso,0736
Fuso orario,UTC+1
Codice ISTAT,044005
Cod. catastale,A335
Targa,AP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 635 GG[3]"
Nome abitanti,appignanesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Appignano del Tronto,Appignano del Tronto
Appignano del Tronto – MappaPosizione del comune di Appignano del Tronto nella provincia di Ascoli Piceno,Appignano del Tronto – MappaPosizione del comune di Appignano del Tronto nella provincia di Ascoli Piceno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
