Monteprandone comune,Monteprandone comune.1
,
Monteprandone – Veduta,Monteprandone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ascoli Piceno
Amministrazione,Amministrazione
Sindaco,Sergio Loggi (lista civica Cittadini in comune) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°55′12.92″N 13°50′07.87″E
Altitudine,273 e 253 m s.l.m.
Superficie,"26,38 km²"
Abitanti,13 084[1] (30-11-2025)
Densità,"495,98 ab./km²"
Frazioni,Centobuchi
Comuni confinanti,"Acquaviva Picena, Colonnella (TE), Controguerra (TE), Martinsicuro (TE), Monsampolo del Tronto, San Benedetto del Tronto"
Altre informazioni,Altre informazioni
Cod. postale,63076
Prefisso,0735
Fuso orario,UTC+1
Codice ISTAT,044045
Cod. catastale,F591
Targa,AP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 951 GG[3]"
Nome abitanti,monteprandonesi
Patrono,san Giacomo della Marca
Giorno festivo,28 novembre
Cartografia,Cartografia
Monteprandone,Monteprandone
Monteprandone – MappaPosizione del comune di Monteprandone nella provincia di Ascoli Piceno,Monteprandone – MappaPosizione del comune di Monteprandone nella provincia di Ascoli Piceno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
