Castignano comune,Castignano comune.1
,
Castignano – Veduta,Castignano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ascoli Piceno
Amministrazione,Amministrazione
Sindaco,Fabio Polini (lista civica Uniti per costruire) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°56′17.3″N 13°37′19″E
Altitudine,473 m s.l.m.
Superficie,"38,8 km²"
Abitanti,2 513[1] (30-11-2025)
Densità,"64,77 ab./km²"
Frazioni,"Castiglioni, Ripaberarda, Rufiano, San Martino, Sant'Angelo di Ripaberarda, San Venanzo, Castello, Contrada Pachierno"
Comuni confinanti,"Appignano del Tronto, Ascoli Piceno, Cossignano, Montalto delle Marche, Montedinove, Offida, Rotella"
Altre informazioni,Altre informazioni
Cod. postale,63072
Prefisso,0736
Fuso orario,UTC+1
Codice ISTAT,044012
Cod. catastale,C321
Targa,AP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 193 GG[3]"
Nome abitanti,castignanesi
Patrono,sant'Egidio
Giorno festivo,1 settembre
Cartografia,Cartografia
Castignano,Castignano
Castignano – MappaPosizione del comune di Castignano nella provincia di Ascoli Piceno,Castignano – MappaPosizione del comune di Castignano nella provincia di Ascoli Piceno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
