Penne comune,Penne comune.1
,
Penne – VedutaAccesso al borgo medievale da Porta San Francesco,Penne – VedutaAccesso al borgo medievale da Porta San Francesco
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Gilberto Petrucci (centrodestra) dal 4-10-2021
Territorio,Territorio
Coordinate,42°27′N 13°55′E
Altitudine,438 m s.l.m.
Superficie,"91,2 km²"
Abitanti,10 912[1] (30-11-2025)
Densità,"119,65 ab./km²"
Frazioni,"Baricelle, Casale, Collalto, Colle d'Omero, Colle Formica, Colle Maggio, Colle San Giovanni, Colle Sant'Angelo, Colle Stella, Colletrotta, Conaprato, Mallo, Pagliari, Ponte Sant'Antonio, Porta Caldaia, Roccafinadamo, San Pellegrino, Pluviano, Santa Vittoria, Serpacchio, Teto, Villa Degna"
Comuni confinanti,"Arsita (TE), Bisenti (TE), Castiglione Messer Raimondo (TE), Castilenti (TE), Civitella Casanova, Elice, Farindola, Loreto Aprutino, Montebello di Bertona, Picciano"
Altre informazioni,Altre informazioni
Cod. postale,65017
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068027
Cod. catastale,G438
Targa,PE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 811 GG[3]"
Nome abitanti,pennesi
Patrono,san Massimo
Giorno festivo,7 maggio
PIL,"(nominale) 188,8 mln € (2021)[4]"
PIL procapite,(nominale) 16 667 € (2021)[4]
Cartografia,Cartografia
Penne,Penne
Penne – MappaPosizione del comune di Penne all'interno della provincia di Pescara,Penne – MappaPosizione del comune di Penne all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
