Bolognano comune,Bolognano comune.1
,
"Bolognano – VedutaMusellaro, frazione di Bolognano","Bolognano – VedutaMusellaro, frazione di Bolognano"
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Agapito Grossi (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,42°12′42.36″N 13°57′05.57″E
Altitudine,276 m s.l.m.
Superficie,"16,96 km²"
Abitanti,1 000[1] (30-11-2025)
Densità,"58,96 ab./km²"
Frazioni,"Fara (o Katanga), Santa Maria del Monte, Musellaro, Piano d'Orta"
Comuni confinanti,"Caramanico Terme, Castiglione a Casauria, Salle, San Valentino in Abruzzo Citeriore, Scafa, Tocco da Casauria, Torre de' Passeri"
Altre informazioni,Altre informazioni
Cod. postale,65020
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068003
Cod. catastale,A945
Targa,PE
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 672 GG[3]"
Nome abitanti,bolognanesi
Patrono,Sant'Antonio abate
Giorno festivo,17 gennaio
PIL,"(nominale) 16,2 mln €[4]"
PIL procapite,(nominale) 15 291 €[4]
Cartografia,Cartografia
Bolognano,Bolognano
Bolognano – MappaPosizione del comune di Bolognano all'interno della provincia di Pescara,Bolognano – MappaPosizione del comune di Bolognano all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
