Provincia di Pescara provincia,Provincia di Pescara provincia.1
,
"Provincia di Pescara – VedutaPalazzo del Governo, sede della Provincia","Provincia di Pescara – VedutaPalazzo del Governo, sede della Provincia"
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Amministrazione,Amministrazione
Capoluogo,Pescara
Presidente,Ottavio De Martinis[1] (indipendente di centro-destra) dal 28-12-2021
Data di istituzione,2 gennaio 1927
Territorio,Territorio
Coordinate del capoluogo,42°27′50″N 14°12′51″E
Superficie,"1 230,33 km²"
Abitanti,311 755[2] (30-9-2025)
Densità,"253,39 ab./km²"
Comuni,46 comuni
Province confinanti,"Teramo, Chieti, L'Aquila"
Altre informazioni,Altre informazioni
Cod. postale,"65121-65129, 65131-65132, 65010-65017, 65019-65020, 65022-65029"
Prefisso,085
Fuso orario,UTC+1
ISO 3166-2,IT-PE
Codice ISTAT,068
Targa,PE
PIL,"(nominale) 8 061,21 mln €[3](2021)"
PIL procapite,(nominale) 25 702 €[3](2021)
Motto,"(LA) Sibi Valet et Vivit ""Ha in sé la forza per vivere e prosperare"""
Cartografia,Cartografia
Provincia di Pescara – Localizzazione,Provincia di Pescara – Localizzazione
Provincia di Pescara – MappaPosizione della provincia all'interno dell'Abruzzo.,Provincia di Pescara – MappaPosizione della provincia all'interno dell'Abruzzo.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
