Torre de' Passeri comune,Torre de' Passeri comune.1
,
Torre de' Passeri – VedutaCastello Gizzi,Torre de' Passeri – VedutaCastello Gizzi
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Giovanni Mancini (lista civica) dal 22-9-2020
Territorio,Territorio
Coordinate,42°15′13.19″N 13°56′00.58″E
Altitudine,172 m s.l.m.
Superficie,"5,92 km²"
Abitanti,2 871[1] (30-11-2025)
Densità,"484,97 ab./km²"
Comuni confinanti,"Alanno, Bolognano, Castiglione a Casauria, Pietranico, Scafa"
Altre informazioni,Altre informazioni
Cod. postale,65029
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068043
Cod. catastale,L263
Targa,PE
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 530 GG[3]"
Nome abitanti,torresi
Patrono,sant'Antonino
Giorno festivo,3 settembre
PIL,"(nominale) 46,3 mln €[4]"
PIL procapite,(nominale) 15 594 €[4]
Cartografia,Cartografia
Torre de' Passeri,Torre de' Passeri
Torre de' Passeri – MappaPosizione del comune di Torre de' Passeri all'interno della provincia di Pescara,Torre de' Passeri – MappaPosizione del comune di Torre de' Passeri all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
