Cugnoli comune,Cugnoli comune.1
,
Cugnoli – Veduta,Cugnoli – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Giancarlo Sciarra (lista civica Continuità e sviluppo) dal 4-10-2021
Territorio,Territorio
Coordinate,42°18′30″N 13°55′59.2″E
Altitudine,331 m s.l.m.
Superficie,"15,96 km²"
Abitanti,1 321[1] (30-11-2025)
Densità,"82,77 ab./km²"
Frazioni,"Andragona, Arcitelli, Cesura, Colle delle Bocache (Biancospino), Colle della Torre, Colle San Luca, Colle Santa Lucia, Fonte Tudico, Piano Cautolo, Piano Finocchio, Rotaggiannelli, San Pietro, Santa Maria del Ponte, Vaccardo, Vadallone, Vallarno"
Comuni confinanti,"Alanno, Catignano, Civitaquana, Nocciano, Pietranico"
Altre informazioni,Altre informazioni
Cod. postale,65020
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068017
Cod. catastale,D201
Targa,PE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 755 GG[3]"
Nome abitanti,cugnolesi
Patrono,santo Stefano
Giorno festivo,19 settembre
PIL,"(nominale) 19,7 mln € (2021)[4]"
PIL procapite,"(nominale) 14 637,3 € (2021)[4]"
Cartografia,Cartografia
Cugnoli,Cugnoli
Cugnoli – MappaPosizione del comune di Cugnoli all'interno della provincia di Pescara,Cugnoli – MappaPosizione del comune di Cugnoli all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
