Lettomanoppello comune,Lettomanoppello comune.1
,
Lettomanoppello – Veduta,Lettomanoppello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Simone Romano D'Alfonso (lista civica Lettomanoppello in comune) dal 27-5-2019
Territorio,Territorio
Coordinate,42°14′N 14°02′E
Altitudine,375 m s.l.m.
Superficie,"15,07 km²"
Abitanti,2 612[1] (30-11-2025)
Densità,"173,32 ab./km²"
Frazioni,"Pietrara, Canale, Calvario, Lavino, Chiuse,"
Comuni confinanti,"Abbateggio, Manoppello, Pretoro (CH), Roccamorice, Scafa, Serramonacesca, Turrivalignani"
Altre informazioni,Altre informazioni
Cod. postale,65020
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068020
Cod. catastale,E558
Targa,PE
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 828 GG[3]"
Nome abitanti,lettesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
PIL,(nominale) 40 mln €[4]
PIL procapite,(nominale) 14 440 €[4]
Cartografia,Cartografia
Lettomanoppello,Lettomanoppello
Lettomanoppello – MappaPosizione del comune di Lettomanoppello all'interno della provincia di Pescara,Lettomanoppello – MappaPosizione del comune di Lettomanoppello all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
