Cepagatti comune,Cepagatti comune.1
,
Cepagatti – Veduta,Cepagatti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Gino Cantò (lista civica Cepagatti c'è) dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,42°21′57″N 14°04′36″E
Altitudine,145 m s.l.m.
Superficie,"30,82 km²"
Abitanti,11 029[1] (30-11-2025)
Densità,"357,85 ab./km²"
Frazioni,"Buccieri, Calcasacco, Casoni Di Girolamo, Faiolo, Mongocitto, Palozzo, Rapattoni Nuovo, Rapattoni Vecchio, Sant'Agata, Santuccione, Cantò, Tre Croci, Fresagrandiria, Vallemare, Villanova, Villareia"
Comuni confinanti,"Chieti (CH), Pianella, Rosciano, San Giovanni Teatino (CH), Spoltore"
Altre informazioni,Altre informazioni
Cod. postale,65012
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068011
Cod. catastale,C474
Targa,PE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 489 GG[3]"
Nome abitanti,cepagattesi
Patrono,san Rocco e santa Lucia
Giorno festivo,16 agosto
PIL,"(nominale) 182,5 mln € (2021)[4]"
PIL procapite,"(nominale) 16 728,5 € (2021)[4]"
Cartografia,Cartografia
Cepagatti,Cepagatti
Cepagatti – MappaPosizione del comune di Cepagatti all'interno della provincia di Pescara,Cepagatti – MappaPosizione del comune di Cepagatti all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
