Civitella Casanova comune,Civitella Casanova comune.1
,
Civitella Casanova – VedutaPanorama,Civitella Casanova – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Marco D'Andrea[1] (lista civica Obiettivo comune) dal 16-5-2011 (3º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,42°22′N 13°53′E
Altitudine,400[2] m s.l.m.
Superficie,"31,1 km²"
Abitanti,1 507[3] (30-11-2025)
Densità,"48,46 ab./km²"
Frazioni,"Baffo, Boragne, Brigantello, Castel Rosso, Centelle, Festina, Madonna delle Grazie, Mirabello, Pastini, Pettorano, Vestea"
Comuni confinanti,"Carpineto della Nora, Civitaquana, Loreto Aprutino, Montebello di Bertona, Ofena (AQ), Penne, Vicoli, Villa Celiera"
Altre informazioni,Altre informazioni
Cod. postale,65010
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068014
Cod. catastale,C779
Targa,PE
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona D, 1 874 GG[5]"
Nome abitanti,civitellesi
Patrono,Madonna delle Grazie
Giorno festivo,Domenica di Pentecoste e lunedì e martedì seguenti
PIL,"(nominale) 21,8 mln €[6]"
PIL procapite,(nominale) 12 766 €[6]
Cartografia,Cartografia
Civitella Casanova,Civitella Casanova
Civitella Casanova – MappaPosizione del comune di Civitella Casanova nella provincia di Pescara,Civitella Casanova – MappaPosizione del comune di Civitella Casanova nella provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
