Castiglione a Casauria comune,Castiglione a Casauria comune.1
,
Castiglione a Casauria – VedutaL'abbazia di San Clemente,Castiglione a Casauria – VedutaL'abbazia di San Clemente
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Biagio Piero Petrilli[1] (lista civica Crescere insieme) dal 27-5-2019
Territorio,Territorio
Coordinate,42°14′13″N 13°53′54″E
Altitudine,350 m s.l.m.
Superficie,"16,57 km²"
Abitanti,718[2] (30-11-2025)
Densità,"43,33 ab./km²"
Frazioni,"San Clemente a Casauria, Cervarano, Madonna della Croce, Le Grotte."
Comuni confinanti,"Pescosansonesco, Tocco da Casauria, Pietranico, Torre de' Passeri, Bolognano, Bussi sul Tirino"
Altre informazioni,Altre informazioni
Cod. postale,65020
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068009
Cod. catastale,C308
Targa,PE
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona D, 1 798 GG[4]"
Nome abitanti,Castiglionesi
Patrono,san Biagio
Giorno festivo,3 febbraio
PIL,"(nominale) 9,9 mln €[5]"
PIL procapite,(nominale) 12 962 €[5]
Cartografia,Cartografia
Castiglione a Casauria,Castiglione a Casauria
Castiglione a Casauria – MappaPosizione del comune di Castiglione a Casauria all'interno della provincia di Pescara,Castiglione a Casauria – MappaPosizione del comune di Castiglione a Casauria all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
