Farindola comune,Farindola comune.1
,
Farindola – Veduta,Farindola – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Ilario Lacchetta[1] (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,42°26′30.46″N 13°49′20.58″E
Altitudine,530 m s.l.m.
Superficie,"45,47 km²"
Abitanti,1 295[2] (30-11-2025)
Densità,"28,48 ab./km²"
Frazioni,"Casebruciate, Centrale, Cupoli, Fiano, Macchie, Pagliaroli, Rigopiano, Ripe, Ronchetti, San Quirico, Santa Maria, Trosciano Inferiore, Trosciano Superiore, Valle d'Angri, Vicenne"
Comuni confinanti,"Arsita (TE), Castel del Monte (AQ), Montebello di Bertona, Penne, Villa Celiera"
Altre informazioni,Altre informazioni
Cod. postale,65010
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068019
Cod. catastale,D501
Targa,PE
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 2 070 GG[4]"
Nome abitanti,farindolesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
PIL,"(nominale) 18,9 mln €[5]"
PIL procapite,(nominale) 13 387 €[5]
Cartografia,Cartografia
Farindola,Farindola
Farindola – MappaPosizione del comune di Farindola all'interno della provincia di Pescara,Farindola – MappaPosizione del comune di Farindola all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
