Montebello di Bertona comune,Montebello di Bertona comune.1
,
Montebello di Bertona – VedutaIl castello di Montebello nel primo Novecento,Montebello di Bertona – VedutaIl castello di Montebello nel primo Novecento
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Gianfranco Macrini[1] (lista civica Al servizio del cittadino) dal 27-5-2019
Territorio,Territorio
Coordinate,42°25′N 13°52′E
Altitudine,615 m s.l.m.
Superficie,"21,5 km²"
Abitanti,803[2] (30-11-2025)
Densità,"37,35 ab./km²"
Frazioni,"Campo Bertona, Campo delle Piane, Campo Mirabello, Campo Santa Maria, Colasante"
Comuni confinanti,"Civitella Casanova, Farindola, Penne, Villa Celiera"
Altre informazioni,Altre informazioni
Cod. postale,65010
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068023
Cod. catastale,F441
Targa,PE
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 198 GG[4]"
Nome abitanti,montebellesi
Patrono,san Pietro
Giorno festivo,29 giugno
PIL,"(nominale) 13,1 mln €[5]"
PIL procapite,(nominale) 13 996 €[5]
Cartografia,Cartografia
Montebello di Bertona,Montebello di Bertona
Montebello di Bertona – MappaPosizione del comune di Montebello di Bertona all'interno della provincia di Pescara,Montebello di Bertona – MappaPosizione del comune di Montebello di Bertona all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
