Bussi sul Tirino comune,Bussi sul Tirino comune.1
,
Bussi sul Tirino – VedutaVista del paese in cima ad un colle,Bussi sul Tirino – VedutaVista del paese in cima ad un colle
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Paolo Salvatore (lista civica) dal 26-5-2025
Territorio,Territorio
Coordinate,42°13′N 13°49′E
Altitudine,344 m s.l.m.
Superficie,"25,91 km²"
Abitanti,2 192[1] (30-11-2025)
Densità,"84,6 ab./km²"
Frazioni,Bussi Officine
Comuni confinanti,"Capestrano (AQ), Castiglione a Casauria, Collepietro (AQ), Corvara, Navelli (AQ), Pescosansonesco, Popoli Terme, Tocco da Casauria"
Altre informazioni,Altre informazioni
Cod. postale,65022
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068005
Cod. catastale,B294
Targa,PE
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 789 GG[3]"
Nome abitanti,bussesi
Patrono,san Biagio
Giorno festivo,3 febbraio
PIL,"(nominale) 40,6 mln € [4]"
PIL procapite,(nominale) 16 802 €[4]
Cartografia,Cartografia
Bussi sul Tirino,Bussi sul Tirino
Bussi sul Tirino – MappaPosizione del comune di Bussi sul Tirino all'interno della provincia di Pescara,Bussi sul Tirino – MappaPosizione del comune di Bussi sul Tirino all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
