Loreto Aprutino comune,Loreto Aprutino comune.1
,
Loreto Aprutino – VedutaPanorama del centro storico,Loreto Aprutino – VedutaPanorama del centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Renato Mariotti (lista civica Loreto 2030) dal 16-5-2023
Territorio,Territorio
Coordinate,42°26′05″N 13°59′01″E
Altitudine,307 m s.l.m.
Superficie,"59,5 km²"
Abitanti,7 019[1] (30-11-2025)
Densità,"117,97 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Catignano, Civitaquana, Civitella Casanova, Collecorvino, Moscufo, Penne, Pianella, Picciano"
Altre informazioni,Altre informazioni
Cod. postale,65014
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068021
Cod. catastale,E691
Targa,PE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 699 GG[3]"
Nome abitanti,"loretesi, lauretani, rotesi (in dialetto)"
Patrono,san Zopito
Giorno festivo,lunedì dopo Pentecoste
PIL,"(nominale) 104,5 mln € (2021)[4]"
PIL procapite,"(nominale) 14 676,4 € (2021)[4]"
Cartografia,Cartografia
Loreto Aprutino,Loreto Aprutino
Loreto Aprutino – MappaPosizione del comune di Loreto Aprutino nella provincia di Pescara,Loreto Aprutino – MappaPosizione del comune di Loreto Aprutino nella provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
