Villa Celiera comune,Villa Celiera comune.1
,
Villa Celiera – VedutaVeduta di Villa Celiera con l'abbazia di Santa Maria di Casanova,Villa Celiera – VedutaVeduta di Villa Celiera con l'abbazia di Santa Maria di Casanova
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Domenico Vespa (lista civica Villa Celiera la svolta buona) dall'11-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,42°22′48.61″N 13°51′32.96″E
Altitudine,714 m s.l.m.
Superficie,"13,18 km²"
Abitanti,524[1] (30-11-2025)
Densità,"39,76 ab./km²"
Frazioni,"Casanova, Fosso Secco, Pietrarossa, San Sebastiano Traino, Santa Maria, Vagnola"
Comuni confinanti,"Carpineto della Nora, Castel del Monte (AQ), Civitella Casanova, Farindola, Montebello di Bertona, Ofena (AQ)"
Altre informazioni,Altre informazioni
Cod. postale,65010
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068046
Cod. catastale,L922
Targa,PE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 348 GG[3]"
Nome abitanti,cellarotti o celieroti
Patrono,san Giovanni Battista
Giorno festivo,29 agosto
PIL,"(nominale) 7,7 mln €[4]"
PIL procapite,(nominale) 12 549 €[4]
Cartografia,Cartografia
Villa Celiera,Villa Celiera
Villa Celiera – MappaPosizione del comune di Villa Celiera nella provincia di Pescara,Villa Celiera – MappaPosizione del comune di Villa Celiera nella provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
