Catignano comune,Catignano comune.1
,
Catignano – VedutaChiesa di San Giovanni Battista,Catignano – VedutaChiesa di San Giovanni Battista
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Francesco Lattanzio (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,42°21′N 13°57′E
Altitudine,365 m s.l.m.
Superficie,"17,03 km²"
Abitanti,1 236[1] (30-11-2025)
Densità,"72,58 ab./km²"
Frazioni,"Sterpara, De Contra, Micarone, Varano, Grotte Cappuccini"
Comuni confinanti,"Civitaquana, Cugnoli, Loreto Aprutino, Nocciano, Pianella"
Altre informazioni,Altre informazioni
Cod. postale,65011
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068010
Cod. catastale,C354
Targa,PE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 806 GG[3]"
Nome abitanti,catignanesi
Patrono,santa Croce
PIL,"(nominale) 16,5 mln €[4]"
PIL procapite,(nominale) 13 012 €[4]
Cartografia,Cartografia
Catignano,Catignano
Catignano – MappaPosizione del comune di Catignano all'interno della provincia di Pescara,Catignano – MappaPosizione del comune di Catignano all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
