Tocco da Casauria comune,Tocco da Casauria comune.1
,
Tocco da Casauria – Veduta,Tocco da Casauria – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Riziero Zaccagnini (lista civica Primavera toccolana) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,42°13′N 13°55′E
Altitudine,356 m s.l.m.
Superficie,"29,67 km²"
Abitanti,2 325[1] (30-11-2025)
Densità,"78,36 ab./km²"
Frazioni,"Francoli, Marano, Pareti, Rovetone"
Comuni confinanti,"Bolognano, Bussi sul Tirino, Castiglione a Casauria, Popoli Terme, Salle, Corfinio (AQ)"
Altre informazioni,Altre informazioni
Cod. postale,65028
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068042
Cod. catastale,L186
Targa,PE
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 807 GG[3]"
Nome abitanti,toccolani
Patrono,sant'Eustachio
Giorno festivo,20 settembre
PIL,"(nominale) 38,1 mln € [4] [nota 1]"
PIL procapite,(nominale) 15 346 €[4][nota 1]
Cartografia,Cartografia
Tocco da Casauria,Tocco da Casauria
Tocco da Casauria – MappaPosizione del comune di Tocco da Casauria all'interno della provincia di Pescara,Tocco da Casauria – MappaPosizione del comune di Tocco da Casauria all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
