Manoppello comune,Manoppello comune.1
,
Manoppello – Veduta,Manoppello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Giorgio De Luca[1] (lista civica di centro-destra) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,42°15′28″N 14°03′35″E
Altitudine,257 m s.l.m.
Superficie,"39,26 km²"
Abitanti,6 760[2] (30-11-2025)
Densità,"172,19 ab./km²"
Frazioni,"Manoppello Scalo, Ripacorbaria, Santa Maria Arabona"
Comuni confinanti,"Alanno, Casalincontrada (CH), Chieti (CH), Lettomanoppello, Rosciano, Serramonacesca, Turrivalignani"
Altre informazioni,Altre informazioni
Cod. postale,65024
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068022
Cod. catastale,E892
Targa,PE
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona D, 1 644 GG[4]"
Nome abitanti,manoppellesi
Patrono,Volto Santo di Manoppello
Giorno festivo,lunedì dopo la terza domenica di maggio (centro storico) - secondo sabato di settembre (Manoppello Scalo) - seconda domenica di ottobre (Ripacorbaria) - 15 agosto (Santa Maria Arabona)
PIL,"(nominale) 110,2 mln €[5]"
PIL procapite,(nominale) 16 048 €[5]
Cartografia,Cartografia
Manoppello,Manoppello
Manoppello – MappaPosizione del comune di Manoppello all'interno della provincia di Pescara,Manoppello – MappaPosizione del comune di Manoppello all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
