Spoltore comune,Spoltore comune.1
,
Spoltore – Veduta,Spoltore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Chiara Trulli (PD) dal 16-6-2022
Data di istituzione,1º settembre 1947[1]
Territorio,Territorio
Coordinate,42°27′18.04″N 14°08′23.57″E
Altitudine,185 m s.l.m.
Superficie,"37,01 km²"
Abitanti,18 945[2] (30-11-2025)
Densità,"511,89 ab./km²"
Frazioni,"Caprara d'Abruzzo, Santa Teresa, Villa Raspa, Villa Santa Maria.[3]"
Comuni confinanti,"Cappelle sul Tavo, Cepagatti, Montesilvano, Moscufo, Pescara, Pianella, San Giovanni Teatino (CH)"
Altre informazioni,Altre informazioni
Cod. postale,65010
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068041
Cod. catastale,I922
Targa,PE
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona D, 1 549 GG[5]"
Nome abitanti,spoltoresi
Patrono,Panfilo di Sulmona
Giorno festivo,28 aprile
PIL,"(nominale) 337,8 mln € (2021)[6]"
PIL procapite,"(nominale) 17 846,5 € (2021)[6]"
Cartografia,Cartografia
Spoltore,Spoltore
Spoltore – MappaPosizione del comune di Spoltore all'interno della provincia di Pescara,Spoltore – MappaPosizione del comune di Spoltore all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
