Brittoli comune,Brittoli comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Gino Di Bernardo (lista civica Brittoli domani) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,42°19′01.38″N 13°51′41.19″E
Altitudine,779 m s.l.m.
Superficie,"15,99 km²"
Abitanti,237[1] (30-11-2025)
Densità,"14,82 ab./km²"
Frazioni,"Collevertieri, Cona, Pagliar di Tono, Peschiole, San Vito"
Comuni confinanti,"Capestrano (AQ), Carpineto della Nora, Civitaquana, Corvara, Pietranico, Vicoli, Villa Santa Lucia degli Abruzzi (AQ)"
Altre informazioni,Altre informazioni
Cod. postale,65010
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068004
Cod. catastale,B193
Targa,PE
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 446 GG[3]"
Nome abitanti,brittolesi
Patrono,Nostra Signora della Neve
Giorno festivo,5 agosto
PIL,"(nominale) 3,3 mln €[4]"
PIL procapite,(nominale) 12 357 €[4]
Cartografia,Cartografia
Brittoli,Brittoli
Brittoli – MappaPosizione del comune di Brittoli all'interno della provincia di Pescara,Brittoli – MappaPosizione del comune di Brittoli all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
