Pianella comune,Pianella comune.1
,
Pianella – Veduta,Pianella – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Taddeo Manella (lista civica) dal 16-5-2023
Territorio,Territorio
Coordinate,42°24′N 14°03′E
Altitudine,236 m s.l.m.
Superficie,"47,05 km²"
Abitanti,8 564[1] (30-11-2025)
Densità,"182,02 ab./km²"
Frazioni,"Castellana, Cerratina"
Comuni confinanti,"Catignano, Cepagatti, Loreto Aprutino, Moscufo, Nocciano, Rosciano, Spoltore"
Altre informazioni,Altre informazioni
Cod. postale,65019
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068030
Cod. catastale,G555
Targa,PE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 414 GG[3]"
Nome abitanti,pianellesi
Patrono,"santa Ciriaca, san Pantaleone e san Silvestro"
Giorno festivo,"ultimo venerdì, sabato, domenica e lunedì di luglio"
PIL,"(nominale) 135,2 mln € (2021)[4]"
PIL procapite,(nominale) 15 923 € (2021)[4]
Cartografia,Cartografia
Pianella,Pianella
Pianella – MappaPosizione del comune di Pianella all'interno della provincia di Pescara,Pianella – MappaPosizione del comune di Pianella all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
