Popoli Terme comune,Popoli Terme comune.1
,
Popoli Terme – VedutaVista del paese,Popoli Terme – VedutaVista del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Moriondo Santoro (lista civica Popoli futura) dal 4-10-2021
Territorio,Territorio
Coordinate,42°10′15″N 13°49′54″E
Altitudine,254 m s.l.m.
Superficie,"35,04 km²"
Abitanti,4 577[1] (30-11-2025)
Densità,"130,62 ab./km²"
Comuni confinanti,"Bussi sul Tirino, Collepietro (AQ), Corfinio (AQ), San Benedetto in Perillis (AQ), Tocco da Casauria, Vittorito (AQ)"
Altre informazioni,Altre informazioni
Cod. postale,65026
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068033
Cod. catastale,G878
Targa,PE
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 653 GG[3]"
Nome abitanti,popolesi
Patrono,san Bonifacio
Giorno festivo,14 maggio
PIL,"(nominale) 88,2 mln €[4]"
PIL procapite,(nominale) 18 102 €[4]
Soprannome,Città delle acque[5]
Cartografia,Cartografia
Popoli Terme,Popoli Terme
Popoli Terme – MappaPosizione del comune di Popoli Terme all'interno della provincia di Pescara,Popoli Terme – MappaPosizione del comune di Popoli Terme all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
