Montesilvano comune,Montesilvano comune.1
,
Montesilvano – VedutaPanorama della città,Montesilvano – VedutaPanorama della città
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Ottavio De Martinis (lista civica di centro-destra) dal 27-5-2019 (2º mandato dal 21-6-2024)
Territorio,Territorio
Coordinate,42°30′51.56″N 14°08′57.03″E
Altitudine,5 m s.l.m.
Superficie,"23,57 km²"
Abitanti,53 545[1] (30-11-2025)
Densità,"2 271,74 ab./km²"
Frazioni,"Montesilvano Colle, Trave, Case di Pietro, Santa Venere"
Comuni confinanti,"Cappelle sul Tavo, Città Sant'Angelo, Pescara, Spoltore"
Altre informazioni,Altre informazioni
Cod. postale,65015
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068024
Cod. catastale,F646
Targa,PE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 720 GG[3]"
Nome abitanti,montesilvanesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
PIL,"(nominale) 946,7 mln € (2021)[4]"
PIL procapite,"(nominale) 17 775,3 € (2021)[4]"
Cartografia,Cartografia
Montesilvano,Montesilvano
Montesilvano – MappaPosizione del comune di Montesilvano nella provincia di Pescara,Montesilvano – MappaPosizione del comune di Montesilvano nella provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
