Elice comune,Elice comune.1
,
Elice – Veduta,Elice – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Gianfranco De Massis[1] (lista civica Capacità e onestà) dal 30-3-2010 (3º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,42°31′N 13°58′E
Altitudine,259 m s.l.m.
Superficie,"14,31 km²"
Abitanti,1 614[2] (30-11-2025)
Densità,"112,79 ab./km²"
Frazioni,"Castellano, Colle d'Odio, Collina, Madonna degli Angeli, Quattro Strade, Sant'Agnello"
Comuni confinanti,"Atri (TE), Castilenti (TE), Città Sant'Angelo, Collecorvino, Penne, Picciano"
Altre informazioni,Altre informazioni
Cod. postale,65010
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068018
Cod. catastale,D394
Targa,PE
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 661 GG[4]"
Nome abitanti,elicesi
PIL,"(nominale) 22,2 mln €[5]"
PIL procapite,(nominale) 13 404 €[5]
Cartografia,Cartografia
Elice,Elice
Elice – MappaPosizione del comune di Elice all'interno della provincia di Pescara,Elice – MappaPosizione del comune di Elice all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
