Cappelle sul Tavo comune,Cappelle sul Tavo comune.1
,
Cappelle sul Tavo – VedutaPanoramica di Cappelle sul Tavo,Cappelle sul Tavo – VedutaPanoramica di Cappelle sul Tavo
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Lorenzo Ferri (lista civica) dal 27-5-2019
Data di istituzione,1904
Territorio,Territorio
Coordinate,42°28′N 14°06′E
Altitudine,122 m s.l.m.
Superficie,"5,41 km²"
Abitanti,4 108[1] (30-11-2025)
Densità,"759,33 ab./km²"
Frazioni,"Staffieri, Terra Rossa"
Comuni confinanti,"Città Sant'Angelo, Collecorvino, Montesilvano, Moscufo, Spoltore"
Altre informazioni,Altre informazioni
Cod. postale,65010
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068006
Cod. catastale,B681
Targa,PE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 454 GG[3]"
Nome abitanti,cappellesi
Patrono,san Pasquale Baylon
Giorno festivo,17 maggio
PIL,"(nominale) 62,3 mln € (2021)[4]"
PIL procapite,"(nominale) 15 556,9 € (2021)[4]"
Cartografia,Cartografia
Cappelle sul Tavo,Cappelle sul Tavo
Cappelle sul Tavo – MappaPosizione del comune di Cappelle sul Tavo all'interno della provincia di Pescara,Cappelle sul Tavo – MappaPosizione del comune di Cappelle sul Tavo all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
