Moscufo comune,Moscufo comune.1
,
Moscufo – Veduta,Moscufo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Pietro Di Pietro (lista civica La nuova Moscufo) dal 10-6-2024
Territorio,Territorio
Coordinate,42°26′N 14°03′E
Altitudine,246[1] m s.l.m.
Superficie,"20,26 km²"
Abitanti,3 162[2] (30-11-2025)
Densità,"156,07 ab./km²"
Frazioni,Bivio Casone
Comuni confinanti,"Cappelle sul Tavo, Collecorvino, Loreto Aprutino, Pianella, Spoltore"
Altre informazioni,Altre informazioni
Cod. postale,65010
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068025
Cod. catastale,F765
Targa,PE
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 429 GG[4]"
Nome abitanti,moscufesi
Patrono,san Cristoforo
Giorno festivo,25 luglio
PIL,(nominale) 50 mln € (2021)[5]
PIL procapite,"(nominale) 29,345 € (2021)[5]"
Cartografia,Cartografia
Moscufo,Moscufo
Moscufo – MappaPosizione del comune di Moscufo all'interno della provincia di Pescara,Moscufo – MappaPosizione del comune di Moscufo all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
