Scafa comune,Scafa comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Giordano Di Fiore (lista civica Scafa che ci piace) dal 13-6-2022
Data di istituzione,6 marzo 1948[1]
Territorio,Territorio
Coordinate,42°15′56.7″N 13°59′47.94″E
Altitudine,108 m s.l.m.
Superficie,"10,34 km²"
Abitanti,3 380[2] (30-11-2025)
Densità,"326,89 ab./km²"
Frazioni,"Colle Mampioppo, Colle Pento, Colle Mulino, Tornaturo, De Contra, Pianapuccia, Zappino, Cesare, Marulli, Basilico."
Comuni confinanti,"Abbateggio, Alanno, Bolognano, Lettomanoppello, San Valentino in Abruzzo Citeriore, Torre de' Passeri, Turrivalignani"
Altre informazioni,Altre informazioni
Cod. postale,65027
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068039
Cod. catastale,I482
Targa,PE
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 433 GG[4]"
Nome abitanti,scafesi
Patrono,Madonna del Carmelo
Giorno festivo,ultima domenica di agosto
PIL,(nominale) 54 mln €[5]
PIL procapite,(nominale) 15 069 €[5]
Cartografia,Cartografia
Scafa,Scafa
Scafa – MappaPosizione del comune di Scafa all'interno della provincia di Pescara,Scafa – MappaPosizione del comune di Scafa all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
