Filandari comune,Filandari comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Concettina Rita Maria Fuduli (lista civica Con e per la gente) dal 10-6-2018
Territorio,Territorio
Coordinate,38°37′N 16°02′E
Altitudine,486 m s.l.m.
Superficie,"18,84 km²"
Abitanti,1 738[1] (30-11-2025)
Densità,"92,25 ab./km²"
Frazioni,"Pizzinni, Scaliti, Arzona, Mesiano"
Comuni confinanti,"Cessaniti, Jonadi, Mileto, Rombiolo, San Calogero, Vibo Valentia, Zungri"
Altre informazioni,Altre informazioni
Cod. postale,89841
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102012
Cod. catastale,D589
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,filandaresi / filandaroti
Patrono,Santa Marina Vergine
Giorno festivo,17 luglio
Cartografia,Cartografia
Filandari,Filandari
Filandari – MappaPosizione del comune di Filandari nella provincia di Vibo Valentia,Filandari – MappaPosizione del comune di Filandari nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
