Stefanaconi comune,Stefanaconi comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Commissario prefettizio
Territorio,Territorio
Coordinate,38°39′48.93″N 16°09′09.65″E
Altitudine,365 m s.l.m.
Superficie,"23,18 km²"
Abitanti,2 252[1] (30-11-2025)
Densità,"97,15 ab./km²"
Frazioni,Morsillara
Comuni confinanti,"Francica, Gerocarne, Pizzoni, Sant'Onofrio, Soriano Calabro, Vazzano, Vibo Valentia"
Altre informazioni,Altre informazioni
Cod. postale,89843
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102043
Cod. catastale,I945
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,stefanaconesi
Patrono,"san Nicola vescovo, Maria Santissima Assunta"
Giorno festivo,6 dicembre
Cartografia,Cartografia
Stefanaconi,Stefanaconi
Stefanaconi – MappaPosizione del comune di Stefanaconi nella provincia di Vibo Valentia,Stefanaconi – MappaPosizione del comune di Stefanaconi nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
