Tropea comune,Tropea comune.1
,
Tropea – Veduta,Tropea – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Vito Turco Roberto Micucci Antonio Calenda (commissione straordinaria) dal 24-4-2024
Territorio,Territorio
Coordinate,38°40′31.37″N 15°53′41.24″E
Altitudine,61 m s.l.m.
Superficie,"3,66 km²"
Abitanti,5 670[1] (30-11-2025)
Densità,"1 549,18 ab./km²"
Comuni confinanti,"Drapia, Parghelia, Ricadi"
Altre informazioni,Altre informazioni
Cod. postale,89861
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102044
Cod. catastale,L452
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 912 GG[3]"
Nome abitanti,"tropeani, trupiani (dialetto calabrese)"
Patrono,Maria Ss. Di Romania
Giorno festivo,"27 marzo, 9 settembre"
Cartografia,Cartografia
Tropea,Tropea
Tropea – MappaPosizione del comune di Tropea nella provincia di Vibo Valentia,Tropea – MappaPosizione del comune di Tropea nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
