Polia comune,Polia comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,"Luca Alessandro (lista civica ""Polia 18.0"") dal 4-10-2021"
Territorio,Territorio
Coordinate,38°45′N 16°19′E
Altitudine,400 m s.l.m.
Superficie,"31,51 km²"
Abitanti,771[1] (30-11-2025)
Densità,"24,47 ab./km²"
Frazioni,"Cellia e Poliolo che costituiscono Polia Centro, Tre Croci e Menniti."
Comuni confinanti,"Cenadi (CZ), Cortale (CZ), Filadelfia, Francavilla Angitola, Jacurso (CZ), Maierato, Monterosso Calabro, San Vito sullo Ionio (CZ)"
Altre informazioni,Altre informazioni
Cod. postale,89813
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102029
Cod. catastale,G785
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,poliesi o polioti
Patrono,sant'Enrico
Giorno festivo,13 luglio
Cartografia,Cartografia
Polia,Polia
Polia – MappaPosizione del comune di Polia nella provincia di Vibo Valentia,Polia – MappaPosizione del comune di Polia nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
