Filogaso comune,Filogaso comune.1
,
Filogaso – Veduta,Filogaso – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Massimo Trimmeliti (lista civica Siamo Filogaso) dall'11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,38°41′N 16°14′E
Altitudine,283 m s.l.m.
Superficie,"23,9 km²"
Abitanti,2 892[1] (30-11-2025)
Densità,121 ab./km²
Comuni confinanti,"Capistrano, Maierato, San Nicola da Crissa, Sant'Onofrio, Vallelonga, Vazzano"
Altre informazioni,Altre informazioni
Cod. postale,89843
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102013
Cod. catastale,D596
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 343 GG[3]"
Nome abitanti,filogasesi
Patrono,sant'Agata
Giorno festivo,5 febbraio
Cartografia,Cartografia
Filogaso,Filogaso
Filogaso – MappaPosizione del comune di Filogaso nella provincia di Vibo Valentia,Filogaso – MappaPosizione del comune di Filogaso nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
