San Gregorio d'Ippona comune,San Gregorio d'Ippona comune.1
,
San Gregorio d'Ippona – Veduta,San Gregorio d'Ippona – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Pasquale Farfaglia (lista civica Insieme per San Gregorio) dal 21-9-2020
Data di istituzione,22-10-2020
Territorio,Territorio
Coordinate,38°39′N 16°06′E
Altitudine,402 m s.l.m.
Superficie,"12,53 km²"
Abitanti,2 563[1] (30-11-2025)
Densità,"204,55 ab./km²"
Frazioni,"Mezzocasale, Regina Elena, Zammarò"
Comuni confinanti,"Francica, Jonadi, San Costantino Calabro, Vibo Valentia"
Altre informazioni,Altre informazioni
Cod. postale,89853
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102034
Cod. catastale,H941
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,Sangregoresi
Patrono,san Gregorio Magno
Giorno festivo,12 marzo
Cartografia,Cartografia
San Gregorio d'Ippona,San Gregorio d'Ippona
San Gregorio d'Ippona – MappaPosizione del comune di San Gregorio d'Ippona nella provincia di Vibo Valentia,San Gregorio d'Ippona – MappaPosizione del comune di San Gregorio d'Ippona nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
