Cessaniti comune,Cessaniti comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Enrico Giuseppe Sorrentino (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,38°40′N 16°02′E
Altitudine,428 m s.l.m.
Superficie,"17,97 km²"
Abitanti,2 841[1] (30-11-2025)
Densità,"158,1 ab./km²"
Frazioni,"Favelloni, Mantineo, Pannaconi, Piana Pugliese, San Cono, San Marco"
Comuni confinanti,"Briatico, Filandari, Vibo Valentia, Zungri"
Altre informazioni,Altre informazioni
Cod. postale,89816
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102006
Cod. catastale,C581
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,cessanitesi[3]
Patrono,san Basilio
Giorno festivo,2 gennaio
PIL procapite,(nominale) 29342 euro
Cartografia,Cartografia
Cessaniti,Cessaniti
Cessaniti – MappaPosizione del comune di Cessaniti nella provincia di Vibo Valentia,Cessaniti – MappaPosizione del comune di Cessaniti nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
