Monterosso Calabro comune,Monterosso Calabro comune.1
,
Monterosso Calabro – Veduta,Monterosso Calabro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Antonio Giacomo Lampasi (lista civica Monterosso nel cuore) dal 31-5-2015 (2º mandato dal 21-9-2020)
Territorio,Territorio
Coordinate,38°43′N 16°17′E
Altitudine,310 m s.l.m.
Superficie,"18,37 km²"
Abitanti,1 439[1] (30-11-2025)
Densità,"78,33 ab./km²"
Comuni confinanti,"Capistrano, Maierato, Polia, San Vito sullo Ionio (CZ)"
Altre informazioni,Altre informazioni
Cod. postale,89819
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102023
Cod. catastale,F607
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 311 GG[3]"
Nome abitanti,monterossini
Patrono,San Nicola e Madonna del Soccorso
Giorno festivo,prima domenica di luglio - 6 dicembre
Cartografia,Cartografia
Monterosso Calabro,Monterosso Calabro
Monterosso Calabro – MappaPosizione del comune di Monterosso Calabro nella provincia di Vibo Valentia,Monterosso Calabro – MappaPosizione del comune di Monterosso Calabro nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
