Serra San Bruno comune,Serra San Bruno comune.1
,
Serra San Bruno – VedutaChiesa dell'Addolorata,Serra San Bruno – VedutaChiesa dell'Addolorata
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Alfredo Barillari (lista civica Libera mente) dal 21-9-2020
Territorio,Territorio
Coordinate,38°35′N 16°20′E
Altitudine,790 m s.l.m.
Superficie,"40,57 km²"
Abitanti,6 254[1] (30-11-2025)
Densità,"154,15 ab./km²"
Frazioni,Ninfo
Comuni confinanti,"Arena, Gerocarne, Mongiana, Spadola, Stilo (RC)"
Altre informazioni,Altre informazioni
Cod. postale,89822
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102037
Cod. catastale,I639
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 693 GG[3]"
Nome abitanti,serresi
Patrono,Beata Vergine Maria Addolorata (festeggiata la domenica vicina al 15 Settembre) San Bruno e San Biagio (compatrono)
Giorno festivo,6 ottobre
Cartografia,Cartografia
Serra San Bruno,Serra San Bruno
Serra San Bruno – MappaPosizione del comune di Serra San Bruno nella provincia di Vibo Valentia,Serra San Bruno – MappaPosizione del comune di Serra San Bruno nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
